"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5102","Search Returns At Least One Row","chromium","Sat Jul 26 14:38:39 EDT 2025","passed","Sat Jul 26 14:38:44 EDT 2025","Admin Page Validations","","",""
"","3129","Validate Widget Titles","chromium","Sat Jul 26 14:38:45 EDT 2025","failed","Sat Jul 26 14:38:48 EDT 2025","Orange HRM Dashboard Validations","","",""
"","3292","Selected Dropdown Filter Option Cannot Be Choosen","firefox","Sat Jul 26 14:38:55 EDT 2025","passed","Sat Jul 26 14:38:59 EDT 2025","PIM Page Validations","","",""
"","4743","Add User: required field & error messages","chromium","Sat Jul 26 14:38:45 EDT 2025","passed","Sat Jul 26 14:38:50 EDT 2025","Admin Page Validations","","",""
"","3310","Validate Widget Titles","firefox","Sat Jul 26 14:38:53 EDT 2025","failed","Sat Jul 26 14:38:57 EDT 2025","Orange HRM Dashboard Validations","","",""
"","1857","Selected Dropdown Filter Option Cannot Be Choosen","chromium","Sat Jul 26 14:38:48 EDT 2025","passed","Sat Jul 26 14:38:50 EDT 2025","PIM Page Validations","","",""
"","6044","Add User: required field & error messages","firefox","Sat Jul 26 14:38:55 EDT 2025","passed","Sat Jul 26 14:39:01 EDT 2025","Admin Page Validations","","",""
"","14141","No Employee Found With Employee Name","firefox","Sat Jul 26 14:38:39 EDT 2025","passed","Sat Jul 26 14:38:53 EDT 2025","PIM Page Validations","","",""
"","8063","No Employee Found With Employee Name","chromium","Sat Jul 26 14:38:39 EDT 2025","passed","Sat Jul 26 14:38:47 EDT 2025","PIM Page Validations","","",""
"","7280","login once and save storage","setup","Sat Jul 26 14:38:31 EDT 2025","passed","Sat Jul 26 14:38:38 EDT 2025","","","",""
"","9909","Search Returns At Least One Row","firefox","Sat Jul 26 14:38:39 EDT 2025","passed","Sat Jul 26 14:38:49 EDT 2025","Admin Page Validations","","",""
"","4782","renders dashboard page","chromium","Sat Jul 26 14:38:39 EDT 2025","passed","Sat Jul 26 14:38:44 EDT 2025","Orange HRM Dashboard Validations","","",""
"","10663","renders dashboard page","firefox","Sat Jul 26 14:38:39 EDT 2025","passed","Sat Jul 26 14:38:50 EDT 2025","Orange HRM Dashboard Validations","","",""
